1.850000000000000000e+03,2.879252072042028203e+02,2.884849642152356637e+02,2.873654501931699770e+02
1.851000000000000000e+03,2.877645627377228834e+02,2.883348337619083850e+02,2.871942917135373818e+02
1.852000000000000000e+03,2.878115518235285322e+02,2.883465151353904616e+02,2.872765885116664890e+02
1.853000000000000000e+03,2.879263207118598871e+02,2.884543015154310979e+02,2.873983399082886763e+02
1.854000000000000000e+03,2.879911034753528156e+02,2.884465950790051920e+02,2.875356118717002687e+02
1.855000000000000000e+03,2.877530616468627613e+02,2.882324575040175318e+02,2.872736657897078771e+02
1.856000000000000000e+03,2.878298661572631545e+02,2.883050736605379143e+02,2.873546586539885084e+02
1.857000000000000000e+03,2.878119802755887235e+02,2.883401964178520416e+02,2.872837641333252918e+02
1.858000000000000000e+03,2.877881696816449448e+02,2.881880087199534728e+02,2.873883306433364737e+02
1.859000000000000000e+03,2.877097573055412454e+02,2.881580009993658109e+02,2.872615136117167935e+02
1.860000000000000000e+03,2.877228999842142230e+02,2.881771698811074884e+02,2.872686300873209575e+02
1.861000000000000000e+03,2.878608090071321044e+02,2.882925666801461944e+02,2.874290513341180713e+02
1.862000000000000000e+03,2.878310461907889248e+02,2.882469942579567714e+02,2.874150981236210782e+02
1.863000000000000000e+03,2.877279551915746652e+02,2.881278035943610689e+02,2.873281067887881477e+02
1.864000000000000000e+03,2.876976638506638437e+02,2.881721577245781987e+02,2.872231699767495456e+02
1.865000000000000000e+03,2.876725420451466562e+02,2.881851959989310785e+02,2.871598880913623475e+02
1.866000000000000000e+03,2.875853014170745041e+02,2.880832016300086593e+02,2.870874012041403489e+02
1.867000000000000000e+03,2.876522008789182792e+02,2.880809345471950564e+02,2.872234672106415019e+02
1.868000000000000000e+03,2.876624742034713904e+02,2.880740039852851737e+02,2.872509444216574934e+02
1.869000000000000000e+03,2.876912179173672257e+02,2.880720562394446915e+02,2.873103795952897030e+02
1.870000000000000000e+03,2.876914737114848890e+02,2.881744586521487008e+02,2.872084887708207930e+02
1.871000000000000000e+03,2.877507490759805933e+02,2.882454672402251958e+02,2.872560309117361044e+02
1.872000000000000000e+03,2.877892146404662981e+02,2.882674291334033683e+02,2.873110001475291710e+02
1.873000000000000000e+03,2.878136043570591482e+02,2.881373900960591641e+02,2.874898186180589619e+02
1.874000000000000000e+03,2.878890941989645853e+02,2.882409396106631903e+02,2.875372487872660372e+02
