1.850000000000000000e+03,2.868452039521392294e+02,2.878068663268653609e+02,2.858835415774132684e+02
1.851000000000000000e+03,2.869047299249926937e+02,2.879889616918371189e+02,2.858204981581482684e+02
1.852000000000000000e+03,2.869291205223538554e+02,2.880320234730310176e+02,2.858262175716766365e+02
1.853000000000000000e+03,2.868148340891150383e+02,2.879454931444652175e+02,2.856841750337645749e+02
1.854000000000000000e+03,2.869072929514349539e+02,2.878849033288459509e+02,2.859296825740240138e+02
1.855000000000000000e+03,2.867709112390570567e+02,2.877829268492073425e+02,2.857588956289066005e+02
1.856000000000000000e+03,2.866976915854025947e+02,2.876857971335373918e+02,2.857095860372675702e+02
1.857000000000000000e+03,2.869093508890401267e+02,2.879764913642315491e+02,2.858422104138487043e+02
1.858000000000000000e+03,2.869488284067357995e+02,2.879261094244461674e+02,2.859715473890254884e+02
1.859000000000000000e+03,2.869390649412710559e+02,2.879343423423500212e+02,2.859437875401918632e+02
1.860000000000000000e+03,2.867909558646009600e+02,2.876104662791818782e+02,2.859714454500200418e+02
1.861000000000000000e+03,2.868544462388881016e+02,2.878918977281078355e+02,2.858169947496681971e+02
1.862000000000000000e+03,2.867029922061711318e+02,2.876454314443002431e+02,2.857605529680420204e+02
1.863000000000000000e+03,2.868098143431331550e+02,2.878437861671230849e+02,2.857758425191429978e+02
1.864000000000000000e+03,2.868780337455635276e+02,2.879031936620850729e+02,2.858528738290419824e+02
1.865000000000000000e+03,2.869522076471495780e+02,2.879640558327885742e+02,2.859403594615105817e+02
1.866000000000000000e+03,2.870131151890481647e+02,2.880706685527851505e+02,2.859555618253111788e+02
1.867000000000000000e+03,2.869249046041989573e+02,2.879747318596990908e+02,2.858750773486987669e+02
1.868000000000000000e+03,2.869322187345763382e+02,2.879616500016219902e+02,2.859027874675306862e+02
1.869000000000000000e+03,2.870861142160628674e+02,2.881075401860850320e+02,2.860646882460404186e+02
1.870000000000000000e+03,2.869187421872609889e+02,2.878819686961167577e+02,2.859555156784051633e+02
1.871000000000000000e+03,2.870499236607054740e+02,2.881296098402277721e+02,2.859702374811831760e+02
1.872000000000000000e+03,2.870740521461194135e+02,2.881394816778674794e+02,2.860086226143713475e+02
1.873000000000000000e+03,2.869903545522699346e+02,2.879176057274581240e+02,2.860631033770817453e+02
1.874000000000000000e+03,2.868697525145628333e+02,2.878398800076244015e+02,2.858996250215012083e+02
1.875000000000000000e+03,2.869501725745934664e+02,2.878842533304362519e+02,2.860160918187506240e+02
